"MMSI;""IMO"";""Status"";""RecvTime"";""MessageID"";""NavigationalStatus"";""ROT"";""SOG"";""PositionAccuracy"";""longitude"";""latitude"";""Altitude"";""COG"";""TrueHeading"";""RAIM"";""OffPosition"""
"203375400;NULL;""OK"";""2017-04-23 00:55:16"";""18"";""-1"";""-999.9"";""0.5"";""1"";""-77.941552"";""18.461967"";""-1"";""315.3"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 01:31:14"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941452"";""18.461867"";""-1"";""298.1"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 01:53:37"";""18"";""-1"";""-999.9"";""0.3"";""1"";""-77.941502"";""18.461883"";""-1"";""183.4"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 02:17:37"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941285"";""18.461883"";""-1"";""196.3"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 02:50:37"";""18"";""-1"";""-999.9"";""0.2"";""1"";""-77.941348"";""18.461882"";""-1"";""183.9"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 01:32:42"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941687"";""18.462153"";""-1"";""185.4"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 01:50:42"";""18"";""-1"";""-999.9"";""0.2"";""1"";""-77.941693"";""18.462143"";""-1"";""292.8"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 02:26:43"";""18"";""-1"";""-999.9"";""0.3"";""1"";""-77.941667"";""18.462158"";""-1"";""352.4"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 03:44:42"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941678"";""18.462205"";""-1"";""6.6"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 04:44:42"";""18"";""-1"";""-999.9"";""0.2"";""1"";""-77.941653"";""18.462235"";""-1"";""208.7"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 05:02:42"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941598"";""18.462305"";""-1"";""314.2"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 17:21:23"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941622"";""18.46223"";""-1"";""3600"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-29 17:38:50"";""18"";""-1"";""-999.9"";""5.2"";""1"";""-77.936392"";""18.465727"";""-1"";""34.5"";""511"";""1"";""0"""
"203423750;NULL;""OK"";""2017-04-21 05:01:24"";""1"";""12"";""292.9"";""12.2"";""0"";""-76.2441"";""18.342233"";""-1"";""117"";""116"";""0"";""0"""
"203423776;NULL;""OK"";""2017-04-15 06:42:20"";""1"";""7"";""17.9"";""2.2"";""0"";""-76.676897"";""17.53862"";""-1"";""281.6"";""343"";""0"";""0"""
"203423922;NULL;""OK"";""2017-04-21 03:09:04"";""1"";""11"";""160.7"";""12.2"";""0"";""-76.6029"";""18.518433"";""-1"";""116"";""117"";""0"";""0"""
"203456198;NULL;""OK"";""2017-04-11 04:29:57"";""3"";""8"";""90.4"";""0.0"";""1"";""-76.750232"";""17.954788"";""-1"";""278.6"";""27"";""1"";""0"""
"203488966;NULL;""OK"";""2017-03-03 10:06:05"";""1"";""8"";""86.4"";""2.8"";""1"";""-76.856657"";""17.937783"";""-1"";""3.2"";""359"";""1"";""0"""
"203512458;NULL;""OK"";""2017-04-30 16:17:12"";""1"";""3"";""251.1"";""14.9"";""1"";""-76.895552"";""18.43852"";""-1"";""294.7"";""295"";""0"";""0"""
"203774679;NULL;""OK"";""2017-04-17 17:04:47"";""1"";""0"";""621.6"";""18.3"";""0"";""-78.185763"";""18.413128"";""-1"";""109.1"";""106"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 18:12:32"";""1"";""0"";""0.0"";""13.5"";""0"";""-76.516167"";""17.124833"";""-1"";""290"";""289"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 18:39:01"";""1"";""0"";""0.0"";""13.7"";""0"";""-76.614657"";""17.158668"";""-1"";""290"";""288"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 18:55:22"";""1"";""0"";""0.0"";""13.9"";""0"";""-76.676225"";""17.180103"";""-1"";""290"";""288"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 19:11:42"";""1"";""0"";""0.0"";""13.9"";""0"";""-76.738"";""17.2015"";""-1"";""290"";""288"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 19:33:24"";""1"";""0"";""0.0"";""13.8"";""0"";""-76.820667"";""17.228333"";""-1"";""289"";""287"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 19:54:28"";""3"";""0"";""0.0"";""14.0"";""0"";""-76.901"";""17.253667"";""-1"";""288"";""287"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 20:16:16"";""1"";""0"";""0.0"";""14.1"";""0"";""-76.985"";""17.280667"";""-1"";""289"";""288"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 20:49:46"";""1"";""0"";""0.0"";""14.1"";""0"";""-77.115"";""17.322333"";""-1"";""289"";""289"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 21:09:21"";""1"";""0"";""0.0"";""14.1"";""0"";""-77.191167"";""17.3475"";""-1"";""290"";""289"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 22:08:42"";""1"";""0"";""0.0"";""13.7"";""0"";""-77.409333"";""17.435333"";""-1"";""297"";""296"";""0"";""0"""
"205073000;NULL;""OK"";""2017-04-14 22:35:41"";""3"";""0"";""0.0"";""13.6"";""0"";""-77.506333"";""17.479833"";""-1"";""295"";""296"";""0"";""0"""
"205254310;NULL;""OK"";""2017-05-04 12:41:57"";""18"";""-1"";""-999.9"";""5.2"";""1"";""-76.384242"";""18.189667"";""-1"";""284"";""511"";""1"";""0"""
"205254310;NULL;""OK"";""2017-05-04 13:02:27"";""18"";""-1"";""-999.9"";""5.1"";""1"";""-76.414673"";""18.194568"";""-1"";""264"";""511"";""1"";""0"""
"205254310;NULL;""OK"";""2017-05-04 13:37:53"";""18"";""-1"";""-999.9"";""2.6"";""1"";""-76.454603"";""18.182213"";""-1"";""284"";""511"";""1"";""0"""
"205283000;NULL;""OK"";""2017-03-18 18:08:34"";""1"";""0"";""0.0"";""17.3"";""1"";""-75.3643"";""16.590317"";""-1"";""292.3"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 18:13:40"";""1"";""0"";""0.0"";""17.1"";""1"";""-75.387533"";""16.5998"";""-1"";""294.4"";""296"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 18:36:28"";""1"";""0"";""0.0"";""16.7"";""1"";""-75.491383"";""16.642117"";""-1"";""293.2"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 18:41:52"";""1"";""0"";""0.0"";""16.8"";""1"";""-75.515817"";""16.652033"";""-1"";""293.3"";""296"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 18:54:10"";""1"";""0"";""0.0"";""16.9"";""1"";""-75.571133"";""16.67455"";""-1"";""291.4"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 19:02:10"";""1"";""0"";""0.0"";""16.6"";""1"";""-75.606983"";""16.689217"";""-1"";""294.1"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 19:44:41"";""1"";""0"";""0.0"";""16.4"";""1"";""-75.79435"";""16.765433"";""-1"";""291.5"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 19:52:10"";""1"";""0"";""0.0"";""16.3"";""1"";""-75.827383"";""16.778783"";""-1"";""291.4"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 20:06:11"";""1"";""0"";""0.0"";""16.6"";""1"";""-75.889233"";""16.803967"";""-1"";""292.3"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 20:31:45"";""1"";""0"";""0.0"";""16.2"";""1"";""-76.00135"";""16.849583"";""-1"";""291.9"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 20:43:28"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.05235"";""16.8703"";""-1"";""292"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 20:53:28"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.09575"";""16.887983"";""-1"";""291.6"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:04:21"";""1"";""0"";""0.0"";""16.4"";""1"";""-76.143033"";""16.907217"";""-1"";""294.4"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:07:40"";""3"";""0"";""0.0"";""16.0"";""1"";""-76.157383"";""16.913017"";""-1"";""291.6"";""295"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:18:16"";""1"";""0"";""0.0"";""16.2"";""1"";""-76.203433"";""16.93175"";""-1"";""291.5"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:24:46"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.231583"";""16.943217"";""-1"";""292.5"";""294"";""0"";""0"""
